rnaseq_sample,guardian_dependence,executioner_availability,r,resistant
BA3157R,0.3741159830268741,0.3069306930693069,47.1233625751916,0
BA3433R,0.8048090523338048,0.8458274398868458,49.5030756241652,0
BA3374R,0.07355021216407355,0.8755304101838756,238.58015194429,1
BA3167R,0.1181046676096181,0.57001414427157,156.677834362537,0
BA3110R,0.5728429985855729,0.9759547383309759,183.980744597838,1
BA3226R,0.7758132956152758,0.2857142857142857,60.1988373636545,0
BA3421R,0.44554455445544555,0.43988684582743987,244.699554165454,1
BA3232R,0.18953323903818953,0.6322489391796322,162.566069438503,1
BA3289R,0.958981612446959,0.22913719943422914,251.490493895827,1
BA3145R,0.17114568599717114,0.2531824611032532,0.919183176758087,0
BA3399R,0.7171145685997171,0.014144271570014143,279.240924384262,1
BA3449R,0.13154172560113153,0.5473833097595474,268.685141917844,1
BA3384R,0.0876944837340877,0.32814710042432815,83.9235468939065,0
BA3163R,0.5127298444130127,0.7835926449787836,252.255914880657,1
BA3158R,0.7001414427157001,0.38755304101838756,193.439146076363,1
BA3436R,0.12588401697312587,0.1272984441301273,37.0408756050736,0
BA3154R,0.15134370579915135,0.7397454031117398,41.806473622064,0
BA3162R,0.5466760961810466,0.7538896746817539,262.920221670552,1
BA3352R,0.3635077793493635,0.8373408769448374,28.0794099096451,0
BA3084R,0.009900990099009901,0.594059405940594,127.336382771193,0
BA3169R,0.35714285714285715,0.9434229137199435,162.798309666535,1
BA3255R,0.6485148514851485,0.8967468175388967,226.215739800998,1
BA3438R,0.9483734087694484,0.157001414427157,39.1543345779243,0
BA3345R,0.954031117397454,0.743988684582744,184.991628165793,1
BA3403R,0.21782178217821782,0.8359264497878359,228.675826170212,1
BA3431R,0.7107496463932107,0.7652050919377652,282.385538188737,1
BA3181R,0.17114568599717114,0.4031117397454031,263.594101602016,1
BA3341R,0.7821782178217822,0.4087694483734088,76.0711634997982,0
BA3191R,0.4823196605374823,0.49222065063649223,229.834098090238,1
BA3197R,0.4045261669024045,0.44271570014144274,103.534808857891,0
BA3448R,0.0297029702970297,0.2347949080622348,9.70167710233542,0
BA3406R,0.64002828854314,0.6138613861386139,64.6021351973841,0
BA3308R,0.32248939179632247,0.44837340876944837,166.659905934603,1
BA3186R,0.48656294200848654,0.0594059405940594,187.765169983629,1
BA3334R,0.8048090523338048,0.42574257425742573,221.136204973186,1
BA3185R,0.5127298444130127,0.7892503536067893,242.737223701237,1
BA3094R,0.7567185289957568,0.6181046676096181,59.6689214208612,0
BA3318R,0.64002828854314,0.2942008486562942,173.118584814233,1
BA3216R,0.9773691654879774,0.7906647807637907,80.0931330636547,0
BA3332R,0.64002828854314,0.7581329561527581,137.605770324797,0
BA3214R,0.33946251768033947,0.7114568599717115,231.932724837558,1
BA3099R,0.0594059405940594,0.8048090523338048,272.261441104012,1
BA3141R,0.09618104667609619,0.4101838755304102,8.43931033691623,0
BA3373R,0.06647807637906648,0.4766619519094767,132.782617707742,0
BA3319R,0.8635077793493635,0.4512022630834512,221.40434078585,1
BA3328R,0.9667609618104668,0.2913719943422914,116.783877999794,0
BA3339R,0.7050919377652051,0.07072135785007072,51.2155561767975,0
BA3240R,0.43564356435643564,0.214992927864215,28.9818325349774,0
BA3142R,0.2157001414427157,0.009900990099009901,15.3515960062582,0
BA3333R,0.7821782178217822,0.6506364922206507,101.945837652927,0
BA3381R,0.4045261669024045,0.44554455445544555,234.312691748439,1
BA3290R,0.06647807637906648,0.5756718528995757,209.159872323402,1
BA3207R,0.43847241867043846,0.3606789250353607,248.424496934152,1
BA3305R,0.32885431400282883,0.7256011315417256,156.23744532832,0
BA3434R,0.57001414427157,0.24893917963224893,174.078718560724,1
BA3189R,0.14992927864214992,0.8500707213578501,16.5590411948801,0
BA3264R,0.3422913719943423,0.37765205091937765,65.4055007835281,0
BA3329R,0.22206506364922207,0.5898161244695899,142.758974161849,0
BA3417R,0.4823196605374823,0.9519094766619519,157.735905996391,0
BA3367R,0.9363507779349364,0.9038189533239038,232.093685054373,1
BA3225R,0.7659123055162659,0.9165487977369166,230.943359125078,1
BA3183R,0.7001414427157001,0.3917963224893918,105.587740686671,0
BA3222R,0.12588401697312587,0.7991513437057991,121.40485292927,0
BA3139R,0.19377652050919378,0.27722772277227725,109.078121376872,0
BA3397R,0.7107496463932107,0.12305516265912306,65.1520479887662,0
BA3311R,0.8394625176803394,0.521923620933522,114.309679635375,0
BA3422R,0.9773691654879774,0.5403111739745403,57.266127067149,0
BA3228R,0.2446958981612447,0.31117397454031115,233.163563266485,1
BA3213R,0.9264497878359265,0.8161244695898161,260.237824807012,1
BA3270R,0.6103253182461104,0.23055162659123055,257.031059751627,1
BA3415R,0.07072135785007072,0.23196605374823195,175.056748223506,1
BA3335R,0.942008486562942,0.7496463932107497,24.4628500398815,0
BA3199R,0.008486562942008486,0.6053748231966054,65.1665833318337,0
BA3326R,0.7659123055162659,0.9900990099009901,201.582722130687,1
BA3285R,0.06930693069306931,0.03536067892503536,71.8654529895804,0
BA3297R,0.1867043847241867,0.33663366336633666,92.0858233759373,0
BA3227R,0.04384724186704385,0.3564356435643564,8.085970321540621e-09,0
BA3394R,0.1181046676096181,0.652050919377652,244.497738265784,1
BA3412R,0.24045261669024046,0.8783592644978784,92.6193047155138,0
BA3293R,0.15417256011315417,0.6944837340876945,64.0119678221882,0
BA3250R,0.3026874115983027,0.6633663366336634,250.308806969666,1
BA3177R,0.03253182461103253,0.9717114568599717,155.152242890425,0
BA3315R,0.4893917963224894,0.38613861386138615,0.524987878200206,0
BA3182R,0.7107496463932107,0.6308345120226309,174.003536441023,1
BA3260R,0.5367751060820368,0.5926449787835927,285.678407373378,1
BA3369R,0.3026874115983027,0.5261669024045261,276.950360890972,1
BA3078R,0.02263083451202263,0.669024045261669,47.6738949321528,0
BA3386R,0.09971711456859972,0.7355021216407355,67.3024217153361,0
BA3445R,0.5417256011315418,0.785007072135785,76.5723890939454,0
BA3452R,0.3868458274398868,0.9052333804809052,216.43440657971,1
BA3176R,0.16407355021216408,0.25176803394625175,168.571586420609,1
BA3258R,0.8557284299858557,0.5388967468175389,265.853000375053,1
BA3295R,0.6548797736916548,0.46534653465346537,244.916011674578,1
BA3283R,0.9186704384724187,0.9462517680339463,225.510705182875,1
BA3390R,0.958981612446959,0.9731258840169731,280.636486976503,1
BA3275R,0.9186704384724187,0.9971711456859972,25.0959506558654,0
BA3136R,0.2524752475247525,0.6082036775106082,97.4900973186494,0
BA3190R,0.2765205091937765,0.6789250353606789,103.042883936684,0
BA3234R,0.7659123055162659,0.8217821782178217,137.619326544411,0
BA3087R,0.0014144271570014145,0.1485148514851485,6.80274714348514,0
BA3454R,0.11386138613861387,0.635077793493635,114.631456994014,0
BA3302R,0.09971711456859972,0.5106082036775106,151.543998267109,0
BA3117R,0.04101838755304102,0.9278642149929278,121.453105207886,0
BA3083R,0.3345120226308345,0.49363507779349364,174.123907655244,1
BA3266R,0.7496463932107497,0.6973125884016973,122.758529266958,0
BA3175R,0.5417256011315418,0.751060820367751,136.101946063453,0
BA3268R,0.026874115983026876,0.04384724186704385,67.2769416351245,0
BA3229R,0.35431400282885434,0.011315417256011316,164.131414464674,1
BA3353R,0.26874115983026875,0.272984441301273,43.5471139276454,0
BA3312R,0.15275813295615276,0.9377652050919377,117.051469382983,0
BA3119R,0.582036775106082,0.36916548797736914,23.8241491976884,0
BA3138R,0.8946251768033946,0.24752475247524752,199.470468468949,1
BA3219R,0.36704384724186706,0.942008486562942,275.438869960006,1
BA3388R,0.8196605374823197,0.21074964639321075,189.665986927875,1
