lof,expr_q,drug,metric,lineage_subset,covset,n,beta,ci_low,ci_high,p,p_fdr
any_of_three,0.2,venetoclax,LN_IC50,all_heme,none,165,0.06917756976988762,-0.08511644696462134,0.22347158650439658,0.3772876849546418,0.6193791779095026
continuous_score,0.2,venetoclax,LN_IC50,all_heme,none,165,0.06917756976988762,-0.08511644696462134,0.22347158650439658,0.3772876849546418,0.6193791779095026
continuous_score,0.05,venetoclax,AUC,lymphoma_only,lineage_plus_mcl1,28,0.06971842111592294,-0.3300309722615089,0.46946781449335473,0.722465691803199,0.8431083720210415
any_of_three,0.05,venetoclax,AUC,lymphoma_only,lineage_plus_mcl1,28,0.06971842111592298,-0.3300309722615089,0.46946781449335484,0.7224656918031989,0.8431083720210415
expression_only,0.1,navitoclax,LN_IC50,all_heme,none,171,0.06993920022801522,-0.08154282905645371,0.22142122951248416,0.3633610382043079,0.6193791779095026
any_of_three,0.2,navitoclax,AUC,all_heme,lineage_plus_mcl1,120,0.07005100073334561,-0.07672155017490606,0.21682355164159728,0.3464680481935877,0.6084316943887393
continuous_score,0.2,navitoclax,AUC,all_heme,lineage_plus_mcl1,120,0.07005100073334564,-0.07672155017490606,0.21682355164159733,0.3464680481935876,0.6084316943887393
expression_only,0.2,navitoclax,AUC,lymphoma_only,lineage_plus_mcl1,29,0.07088013688180793,-0.25054735004350126,0.39230762380711715,0.6541085592179514,0.8064352099947346
expression_only,0.1,navitoclax,AUC,lymphoma_only,lineage_plus_mcl1,29,0.07088013688180793,-0.25054735004350126,0.39230762380711715,0.6541085592179514,0.8064352099947346
continuous_score,0.05,navitoclax,AUC,leukemia_only,none,65,0.07108596160195133,-0.18004435923002224,0.32221628243392486,0.5736352826573871,0.7464853775135946
any_of_three,0.05,navitoclax,AUC,leukemia_only,none,65,0.07108596160195135,-0.18004435923002232,0.322216282433925,0.5736352826573871,0.7464853775135946
any_of_three,0.1,navitoclax,AUC,all_heme,lineage,171,0.07572160292214856,-0.07590811933920301,0.22735132518350015,0.3256105171415886,0.5964211460058119
continuous_score,0.1,navitoclax,AUC,all_heme,lineage,171,0.07572160292214866,-0.0759081193392031,0.22735132518350043,0.3256105171415886,0.5964211460058119
continuous_score,0.05,venetoclax,LN_IC50,lymphoma_only,lineage_plus_mcl1,28,0.07632150554288875,-0.3124816130372931,0.4651246241230706,0.6894414364660342,0.823703258869681
any_of_three,0.05,venetoclax,LN_IC50,lymphoma_only,lineage_plus_mcl1,28,0.07632150554288879,-0.3124816130372931,0.4651246241230707,0.6894414364660342,0.823703258869681
any_of_three,0.1,navitoclax,AUC,all_heme,lineage_plus_mcl1,120,0.07784024642025852,-0.0729817459322982,0.22866223877281525,0.3088065221294359,0.5912165775540534
continuous_score,0.1,navitoclax,AUC,all_heme,lineage_plus_mcl1,120,0.07784024642025868,-0.07298174593229804,0.22866223877281538,0.3088065221294349,0.5912165775540534
continuous_score,0.1,venetoclax,AUC,all_heme,none,165,0.08023356858270708,-0.0739323438556441,0.23439948102105826,0.3056292028508586,0.5912165775540534
any_of_three,0.1,venetoclax,AUC,all_heme,none,165,0.08023356858270712,-0.07393234385564408,0.23439948102105834,0.3056292028508586,0.5912165775540534
mutation_only,0.05,navitoclax,AUC,all_heme,lineage,171,0.08361892391623985,-0.06739981316205979,0.23463766099453948,0.2759129179005254,0.5796745130192706
