,x,y,truth,pred_bypass,score,stability
spot662,22,16,False,False,0.216825,0.25925925925925924
spot663,23,16,False,False,0.1992267578125,0.5185185185185185
spot664,24,16,False,False,0.0065277343749999975,0.8518518518518519
spot665,25,16,False,False,0.05306640625000002,0.9629629629629629
spot666,26,16,False,False,0.38663720703125,0.25925925925925924
spot667,27,16,False,False,0.022611035156250004,0.8148148148148148
spot668,28,16,False,False,0.09666210937499996,1.0
spot669,29,16,False,False,0.34961103515625,0.18518518518518517
spot670,30,16,False,False,0.032477734375,1.0
spot671,31,16,False,False,0.0009023437500000006,1.0
spot672,32,16,False,False,0.031497558593750016,1.0
spot673,33,16,False,False,0.0025867187499999866,1.0
spot674,34,16,False,False,0.206344140625,0.3333333333333333
spot675,35,16,False,False,0.0032484375,0.9629629629629629
spot676,36,16,False,False,0.1567171875,1.0
spot677,37,16,False,False,0.11399375,0.8148148148148148
spot678,38,16,False,False,0.09788847656250003,0.9259259259259259
spot679,39,16,False,True,0.6731376953125001,0.3333333333333333
spot680,0,17,False,False,0.4028953125,0.8888888888888888
spot681,1,17,False,False,0.21468701171875001,0.8148148148148148
spot682,2,17,False,True,0.5329935546875,0.25925925925925924
spot683,3,17,False,False,0.15246210937500004,0.8148148148148148
spot684,4,17,False,False,0.037402148437500005,0.8518518518518519
spot685,5,17,False,True,0.47432460937500004,0.35802469135802467
spot686,6,17,False,False,0.10050078124999999,1.0
spot687,7,17,False,False,0.12588925781250002,0.9259259259259259
spot688,8,17,False,False,0.21669628906249996,0.3333333333333333
spot689,9,17,True,True,0.9204397460937499,1.0
spot690,10,17,True,True,0.96823798828125,1.0
spot691,11,17,True,True,0.96427578125,1.0
spot692,12,17,True,True,0.8739029296874999,1.0
spot693,13,17,True,True,0.9396791015625,1.0
spot694,14,17,True,True,0.8730972656249999,1.0
spot695,15,17,True,True,0.9040662109375001,1.0
spot696,16,17,True,True,0.840183984375,1.0
spot697,17,17,True,True,0.7854785156249999,1.0
spot698,18,17,True,True,0.81693701171875,1.0
spot699,19,17,True,True,0.8208246093749999,1.0
spot700,20,17,False,False,0.0740109375,0.4444444444444444
spot701,21,17,False,False,0.264753515625,0.5555555555555556
spot702,22,17,False,False,0.384333984375,0.7777777777777778
spot703,23,17,False,True,0.62100263671875,0.4444444444444444
spot704,24,17,False,False,0.006580664062500001,0.2222222222222222
spot705,25,17,False,False,0.03170097656249999,1.0
spot706,26,17,False,False,0.08197421875000001,1.0
spot707,27,17,False,False,0.33909775390625,0.12345679012345678
spot708,28,17,False,False,0.01041875000000001,1.0
spot709,29,17,False,False,0.3088421875,0.8148148148148148
spot710,30,17,False,False,0.15100390625,0.8518518518518519
spot711,31,17,False,False,0.27217675781249995,1.0
spot712,32,17,False,True,0.6251206054687501,0.2222222222222222
spot713,33,17,False,False,0.20801074218750001,0.9629629629629629
spot714,34,17,False,False,0.42850898437499996,0.8518518518518519
spot715,35,17,False,False,0.02908701171874997,0.8888888888888888
spot716,36,17,False,False,0.07479999999999999,1.0
spot717,37,17,False,False,0.019576171875,0.3333333333333333
spot718,38,17,False,False,0.09718544921874997,1.0
spot719,39,17,False,False,0.002271093750000001,1.0
spot720,0,18,False,False,0.0065531249999999895,1.0
spot721,1,18,False,False,0.25649326171875003,1.0
spot722,2,18,False,False,0.07169902343750002,1.0
spot723,3,18,False,False,0.2287197265625,0.9259259259259259
spot724,4,18,False,False,0.1279638671875,0.8148148148148148
spot725,5,18,False,False,0.36909541015625,0.8888888888888888
spot726,6,18,False,False,0.43426582031250005,0.25925925925925924
spot727,7,18,False,False,0.0035888671875000007,0.4444444444444444
spot728,8,18,False,False,0.10741250000000001,0.2222222222222222
spot729,9,18,True,True,0.92032919921875,1.0
spot730,10,18,True,True,0.80578125,1.0
spot731,11,18,True,True,0.97978359375,1.0
spot732,12,18,True,True,0.92067158203125,1.0
spot733,13,18,True,True,0.8052,1.0
spot734,14,18,True,True,0.83775791015625,1.0
spot735,15,18,True,True,0.84996484375,1.0
spot736,16,18,True,True,0.8550421874999999,1.0
spot737,17,18,True,True,0.9260984375,1.0
spot738,18,18,True,True,0.90606689453125,1.0
spot739,19,18,True,True,0.852277734375,1.0
spot740,20,18,False,False,0.040431445312499995,0.3333333333333333
spot741,21,18,False,True,0.5264501953124999,0.7777777777777778
spot742,22,18,False,False,0.17661699218750002,0.07407407407407407
spot743,23,18,False,False,0.25032421875,0.8148148148148148
spot744,24,18,False,False,0.0913330078125,0.6666666666666666
spot745,25,18,False,False,0.18276464843750004,1.0
spot746,26,18,False,False,0.17202949218749997,1.0
spot747,27,18,False,False,0.017560156250000014,1.0
spot748,28,18,False,False,0.2144775390625,1.0
spot749,29,18,False,False,0.15315615234374996,1.0
spot750,30,18,False,True,0.5356494140625,0.14814814814814814
spot751,31,18,False,False,0.02103613281250001,1.0
spot752,32,18,False,False,0.13735986328125002,0.8888888888888888
spot753,33,18,False,False,0.17099062499999998,0.24691358024691357
spot754,34,18,False,True,0.46300322265625,0.14814814814814814
spot755,35,18,False,False,0.05753681640624998,0.7407407407407407
spot756,36,18,False,False,0.10214453124999999,0.6666666666666666
spot757,37,18,False,False,0.26090859375,1.0
spot758,38,18,False,False,0.3284033203125,0.7777777777777778
spot759,39,18,False,False,0.092090625,0.48148148148148145
spot760,0,19,False,False,0.349248046875,0.12345679012345678
spot761,1,19,False,False,0.018497460937499998,1.0
spot762,2,19,False,False,0.25683583984374997,0.8518518518518519
spot763,3,19,False,False,0.14948828125,0.37037037037037035
spot764,4,19,False,True,0.73393515625,0.4074074074074074
spot765,5,19,False,False,0.1612810546875,1.0
spot766,6,19,False,False,0.06968544921875,0.8148148148148148
spot767,7,19,False,False,0.0006601562499999999,0.37037037037037035
spot768,8,19,True,True,0.80717421875,1.0
spot769,9,19,True,True,0.96708330078125,1.0
spot770,10,19,True,True,0.8222607421875,1.0
spot771,11,19,True,True,0.8290046875,1.0
spot772,12,19,True,True,0.8554764648437501,1.0
spot773,13,19,True,True,0.877297265625,1.0
spot774,14,19,True,True,0.8940064453125,1.0
spot775,15,19,True,True,0.9481890625,1.0
spot776,16,19,True,True,0.8950904296875,1.0
spot777,17,19,True,True,0.8015068359374999,1.0
spot778,18,19,True,True,0.854413671875,1.0
